"item_no","item_description","vendor_name","proof","case_cost","pack"
903706,"Frida Kahlo Anejo Tequila","Dorado Pizzorni & Sons Llc","80","292.35",6
903717,"Milagro Reposado Tequila","William Grant And Sons Inc.","80","105.87",6
903744,"Herradura Anejo 6x6 12pak(dno)","Brown-forman Corporation","80","324.27",12
903754,"Milagro Tequila Sbr Silver","William Grant And Sons Inc.","80","167.00",6
903772,"Herradura Seleccion Suprema Tequila","Brown-forman Corporation","80","516.36",3
903774,"Siete Leguas Anejo","Monsieur Henri Wines Ltd.","80","235.00",6
903781,"Casco Viejo Silver Tequila","Sans Wine And Spirits Co","80","110.00",12
903807,"Siete Leguas Blanco","Monsieur Henri Wines Ltd.","80","204.00",6
903821,"Partida Tequila Elegante Extra Anejo","Partida Tequila","80","360.00",2
903836,"1800 Select Silver Tequila","Proximo","100","197.76",12
903937,"Tortilla Gold Tequila","White Rock Distilleries Inc.","80","84.72",12
903945,"Corralejo Blanco Tequila","Wilson Daniels Ltd.","80","75.00",6
903960,"Patron Reposado","The Patron Spirits Company","80","166.00",12
903962,"Don Eduardo Reposado","Brown-forman Corporation","80","153.28",6
903981,"El Diamante Del Cielo Blanco Tequila","Black Diamond Spirits Llc","80","125.00",6
903994,"Casa Noble Anejo","Constellation Wine Company Inc.","80","305.00",6
904000,"Cazadores Blanco","Bacardi U.s.a. Inc.","80","201.68",12
904004,"30-30 Tequila Reposado","Heartland Wine And Spirits Group","80","149.70",12
904005,"30-30 Tequila Blanco","Heartland Wine And Spirits Group","80","141.70",12
904010,"Tanteo Jalapeno Tequila( do not use)","Tanteo Tequila","40","134.00",6
904212,"Corazon De Agave Reposado Tequila","Monsieur Henri Wines Ltd.","80","95.97",6
904231,"Voodoo Tiki Tequila Desert Rose","Admiral Imports","67","96.00",6
904241,"Voodoo Tiki Tequila Green Dragon","Admiral Imports","67","96.00",6
904246,"Hacienda Vieja","Marsalle Company/stoller Warehouse","80","158.15",12
904399,"Voodoo Tiki Tequila Blue Dragon","Admiral Imports","67","96.00",6
904481,"Don Julio Reposado Mini","Diageo Americas","80","119.87",60
904482,"Sauza Hornitos Reposado","Jim Beam Brands","80","114.24",24
904484,"El Jimador Blanco Tequila","Brown-forman Corporation","80","140.67",24
904492,"Cazadores Reposado","Bacardi U.s.a. Inc.","80","295.29",24
904519,"Cabrito Reposado","Haas Brothers","80","203.20",12
904533,"Milagro Tequila Anejo Minis","William Grant And Sons Inc.","80","247.17",120
904567,"Gran Centenario Rosangel","Proximo","80","113.81",6
904569,"El Jimador Reposado Tequila","Brown-forman Corporation","80","110.97",6
904587,"Cabrito Blanco","Haas Brothers","80","129.20",12
904588,"El Jimador Silver Tequila","Brown-forman Corporation","80","110.97",6
904599,"Corralejo Reposado Teuqila","Wilson Daniels Ltd.","80","210.00",6
904600,"Don Julio Anejo","Diageo Americas","80","179.68",12
